1,10,21,24,29,31,35,43,44,45,46,48,52,53,54,57,65,67,72,77
2,10,18,24,27,31,36,38,43,48,49,50,52,56,60,63,67,70,75,78
2,3,5,6,10,11,14,34,40,41,44,54,55,56,60,63,66,71,72,78
0,9,13,24,29,31,34,38,40,44,45,46,62,63,65,70,74,75,76,79
0,3,7,16,18,25,29,33,34,39,43,44,53,62,67,68,70,73,76,77
4,13,19,20,24,28,33,37,40,41,48,49,51,58,63,65,66,70,77,79
1,4,17,19,22,29,36,39,40,43,49,53,56,63,64,67,69,70,75,76
0,5,14,18,20,22,24,36,37,39,40,45,51,54,60,62,66,70,72,75
3,9,16,18,20,22,23,29,34,40,46,52,55,57,62,63,65,67,73,76
4,12,13,15,16,21,32,33,39,44,49,53,56,59,70,74,76,77,78,79
4,6,11,16,19,25,26,27,30,37,40,41,42,52,54,57,59,61,73,76
0,1,2,6,8,10,15,21,28,30,35,49,54,62,63,66,70,72,77,79
8,12,13,16,27,30,33,36,39,41,44,45,52,57,62,67,70,73,76,78
1,3,26,27,29,31,34,35,37,40,46,49,51,60,64,66,72,73,74,77
8,10,12,17,26,29,35,36,37,39,55,57,61,63,67,69,73,74,78,79
3,13,28,29,37,38,40,45,47,48,52,56,57,58,60,64,68,69,71,72
7,18,19,27,30,34,35,38,39,42,55,57,59,60,61,64,68,74,75,76
3,6,11,12,13,18,23,26,28,29,37,39,40,43,45,48,49,50,52,57
6,7,8,12,24,30,36,44,45,46,48,52,53,57,58,64,71,73,76,77
1,9,15,16,23,25,28,30,33,37,48,55,57,63,70,72,73,77,78,79
0,2,11,12,15,25,34,37,38,42,43,47,50,60,61,62,66,68,72,79
3,5,10,13,17,19,20,28,33,38,39,43,48,56,57,60,69,71,74,79
6,7,8,14,30,32,33,35,37,39,45,51,52,58,59,63,67,68,69,78
2,10,11,14,16,29,34,36,49,52,53,57,64,65,66,67,68,70,73,76
1,8,22,27,29,30,32,34,37,44,45,47,48,50,58,60,62,66,71,78
4,6,9,11,16,26,28,37,47,48,50,52,53,54,55,63,65,68,69,72
0,5,8,9,30,34,35,37,40,48,49,51,61,62,65,66,67,69,73,79
0,13,14,17,19,24,25,26,30,34,37,45,52,56,62,66,68,75,76,77
2,7,9,11,13,17,18,19,21,27,30,41,49,53,54,60,66,67,75,78
1,7,8,10,13,21,26,31,33,36,39,58,61,62,66,69,74,76,78,79
0,2,6,9,13,14,24,31,37,39,42,44,51,52,58,63,64,66,72,78
7,11,14,16,18,19,21,24,27,38,42,51,57,59,65,71,73,74,75,77
3,4,7,12,18,22,25,30,37,38,44,48,54,55,57,67,70,71,74,77
1,4,6,16,20,22,25,28,32,34,35,40,52,53,57,60,68,69,77,79
4,12,17,21,22,23,25,30,37,39,40,41,42,44,52,53,55,60,78,79
9,10,11,12,14,15,22,25,27,28,37,42,43,50,53,57,65,68,77,79
8,19,31,34,35,39,41,43,46,49,52,53,54,56,61,63,68,71,74,79
0,1,2,6,17,18,21,26,27,30,36,38,41,42,45,47,57,67,70,78
0,8,15,16,22,29,30,36,43,45,48,50,52,53,54,55,57,60,69,78
5,11,12,13,23,24,37,42,44,47,48,53,55,56,58,59,65,71,72,73
1,2,9,10,11,31,35,36,47,53,54,58,59,60,61,63,71,74,75,77
1,5,19,20,27,30,31,35,48,54,55,57,59,61,63,64,65,66,69,78
2,3,6,7,11,12,13,15,23,32,38,41,42,45,51,55,62,66,67,70
0,5,6,10,13,23,26,27,29,32,43,44,52,54,58,69,74,75,76,77
0,3,7,8,9,17,26,27,28,32,35,36,40,48,49,57,60,61,66,70
5,7,11,12,13,17,24,34,37,42,52,53,55,56,63,67,70,71,74,79
1,5,7,8,13,14,16,19,21,22,27,47,56,60,68,69,74,75,77,78
0,7,8,11,24,25,28,29,33,34,36,41,50,51,52,59,63,64,75,76
8,13,16,20,21,25,26,30,32,43,47,48,51,54,61,62,65,73,77,79
5,16,19,20,26,28,33,43,45,48,55,59,62,63,64,66,69,75,76,77
